,0
koruptor di,1
di indonesia,1
indonesia untuk,1
untuk bantu,1
bantu laksana,1
laksana makanbergizigratis,1
makanbergizigratis untuk,1
untuk para,1
para terus,1
terus generasi,1
generasi bangsa,1
inisial wowok,1
wowok aku,1
aku enggak,2
enggak kasih,1
yang enak,2
enak tapi,1
tapi bukan,1
bukan makansianggratis,3
yang gw,1
gw heranin,1
heranin kenapa,1
kenapa di,1
di x,1
x masih,1
masih ributin,1
ributin jokowi,1
jokowi mulu,1
mulu dah,1
dah lewat,1
lewat loh,1
loh juga,1
juga napa,1
napa enggak,1
enggak komenin,1
komenin prabowo,2
prabowo aja,1
aja iya,1
iya sih,1
sih susah,1
susah komenin,1
prabowo karena,1
karena yang,1
yang bisa,1
bisa d,1
d salah2in,1
salah2in cm,1
cm mbg,1
mbg selain,1
selain itu,1
itu prabowo,1
prabowo lumayan,1
lumayan bgt,1
bgt wkwkw,1
udah dehhh,1
dehhh orang,1
orang indo,1
indo mending,1
mending lanjut,1
lanjut mantau,1
mantau makansianggratis,1
makansianggratis dan,1
dan kawal,1
kawal kasus,1
kasus pagar,1
pagar 30km,1
30km itu,1
itu stop,1
stop ngurusin,1
ngurusin negara,1
negara lain,1
lain kalau,1
kalau lu,2
lu kaga,1
kaga demen,1
demen yaudah,1
yaudah sih,1
sih kaga,1
kaga bakal,1
bakal ngaruh,1
ngaruh apa2,1
apa2 juga,1
juga buat,2
buat mereka,1
mereka negara,1
negara kita,1
kita juga,1
juga enggak,2
enggak lebih,1
lebih bagus,1
bagus perintah,1
mending uang,1
uang makanbergizigratis,1
makanbergizigratis alih,1
alih buat,1
buat sejahtera,1
sejahtera guru,1
guru tingkat,1
tingkat fasilitas,1
fasilitas sekolah,1
sekolah dan,1
dan buat,1
buat sekolah,2
sekolah gratis,1
gratis seluruh,1
seluruh indonesia,2
indonesia enggak,1
enggak perlu,1
perlu malu,1
malu dengan,1
dengan ganti,1
ganti program,1
perintah lebih,1
lebih malu,1
malu jika,1
jika generasi,1
generasi datang,1
datang bodoh,1
bodoh niretika,1
niretika serta,1
serta bobrok,1
bobrok akhlak,1
