,id,edit_history_tweet_ids,created_at,text,author_id,text_cleaned,text_cleaned_stemmed
39,1880651674605490304,1880651674605490304,2025-01-18T16:21:14.000Z,"@Bang_San77 Klo elu tau gizi yg elu kasih ke anak lu justru lebih baik drpd program pemerintah ya anak lu gosah program MBG GUOBLOK, susah amat.
Masih banyak anak yg blom kesentuh MB, dan itu nyata, ga jauh malah, masih di pulau Jawa.
dasar THOLOL luh https://t.co/oe8VxGvFSI",1379044492464943104, klo elu tau gizi yang elu kasih ke anak lu justru lebih baik drpd program pemerintah ya anak lu gosah program mbg guoblok susah amat masih banyak anak yang blom kesentuh mb dan itu nyata enggak jauh malah masih di pulau jawa dasar tholol luh,klo elu tau gizi yang elu kasih ke anak lu justru lebih baik drpd program perintah ya anak lu gosah program mbg guoblok susah amat masih banyak anak yang blom sentuh mb dan itu nyata enggak jauh malah masih di pulau jawa dasar tholol luh
40,1880651646721769587,1880651646721769587,2025-01-18T16:21:08.000Z,"makanya udah bener Makan Siang Gratis, malah diganti jadi Makan Bergizi Gratis

komposisi gizi di MSG itu bisa diperdebatkan sedangkan MBG pasti diuji ke suatu standar gizi https://t.co/o76FvdvALA",1113454776421769216,makanya udah bener makansianggratis malah diganti jadi makanbergizigratis komposisi gizi di msg itu bisa diperdebatkan sedangkan mbg pasti diuji ke suatu standar gizi,makanya udah bener makansianggratis malah ganti jadi makanbergizigratis komposisi gizi di msg itu bisa debat sedang mbg pasti uji ke suatu standar gizi
41,1880651629940383774,1880651629940383774,2025-01-18T16:21:04.000Z,Mendagri minta Pemda ikut bantu program MBG 5 milyar 🥱🥱🥱🥱🥱 https://t.co/FTPe1uq031,1501028490279518208,mendagri minta pemda ikut bantu program mbg 5 milyar ,mendagri minta pemda ikut bantu program mbg 5 milyar
42,1880651429402300500,1880651429402300500,2025-01-18T16:20:16.000Z,"Respect! , dengan memotong belanja pemerintahan  akhirnya bisa surplus setelah 14 tahun. Sementara itu, ada suatu negara yang menggendutkan kabinet secara ugal2an.. saat ekonomi lesu dan sok2an kasih makan 'bergizi' gratis.. https://t.co/HbpoTbssWR",1246751114621407232,respect  dengan memotong belanja pemerintahan akhirnya bisa surplus setelah 14 tahun sementara itu ada suatu negara yang menggendutkan kabinet secara ugal2an saat ekonomi lesu dan sok2an kasih makan bergizi gratis,respect dengan potong belanja perintah akhir bisa surplus telah 14 tahun sementara itu ada suatu negara yang gendut kabinet cara ugal2an saat ekonomi lesu dan sok2an kasih makan gizi gratis
43,1880651318630756598,1880651318630756598,2025-01-18T16:19:49.000Z,"@IAlfharizy77937 @ancient1674030 @bakuldimsum_ ga tau asal usul 300T tapi mau anak harvey yg masih underage di bully dan sucide 🤣 SEHARUSNYA LU KOMENTAR KE SONO BUKAN DISINI, ini dana MBG bahkan mau diambil dari dana zakat dan biaya infrastruktur juga dipangkas demi MBG kentot ini makanya rakyat WAJIB KRITIS",1838205615854030849,   enggak tau asal usul 300t tapi mau anak harvey yang masih underage di bully dan sucide  seharusnya lu komentar ke sono bukan disini ini dana mbg bahkan mau diambil dari dana zakat dan biaya infrastruktur juga dipangkas demi mbg kentot ini makanya rakyat wajib kritis,enggak tau asal usul 300t tapi mau anak harvey yang masih underage di bully dan sucide harus lu komentar ke sono bukan sini ini dana mbg bahkan mau ambil dari dana zakat dan biaya infrastruktur juga pangkas demi mbg kentot ini makanya rakyat wajib kritis
44,1880651284136804636,1880651284136804636,2025-01-18T16:19:41.000Z,"Silih berganti berita keracunan makanan dialami anak-anak yang mendapat jatah Makan Bergizi Gratis Rp 10 ribuan.

Susah membayangkan mengolah makanan senilai Rp 5,500 karena jatah Rp 10,000 harus dikurangi dengan kotak isi gula bersusu.

Tadinya saya bertekad ingin mendukung… https://t.co/SuQXIlYFQ7 https://t.co/8FmIXKN94b",1502822366946402304,silih berganti berita keracunan makanan dialami anakanak yang mendapat jatah makanbergizigratis rp 10 ribuan susah membayangkan mengolah makanan senilai rp 5500 karena jatah rp 10000 harus dikurangi dengan kotak isi gula bersusu tadinya saya bertekad ingin mendukung,silih ganti berita racun makan alami anakanak yang dapat jatah makanbergizigratis rp 10 ribu susah bayang olah makan nila rp 5500 karena jatah rp 10000 harus rang dengan kotak isi gula susu tadi saya tekad ingin dukung
45,1880651271063167477,1880651271063167477,2025-01-18T16:19:38.000Z,@kozirama Kan konsep awalnya makan siang gratis yg bergizi bukan makan kenyang gratis,1719360823586594816, kan konsep awalnya makansianggratis yang bergizi bukan makan kenyang gratis,kan konsep awal makansianggratis yang gizi bukan makan kenyang gratis
46,1880650784821665935,1880650784821665935,2025-01-18T16:17:42.000Z,"kontol, mending gaji lu lu pada yang buat mbg. daripada masyarakat patungan. https://t.co/WCJDYsdxnw",1119094299663056896,kontol mending gaji lu lu pada yang buat mbg daripada masyarakat patungan,kontol mending gaji lu lu pada yang buat mbg daripada masyarakat patungan
47,1880650634564973038,1880650634564973038,2025-01-18T16:17:06.000Z,"@detikcom Yth. @DPR_RI segera panggil Deddy Corbuzier ini karena telah ""memaki"" anak-anak Indonesia yang protes terhadap menu ""Makan Bergizi Gratis"".
👉Sementara yang punya program aja gak berani ""memaki"" anak-anak.",220260447, yth  segera panggil deddy corbuzier ini karena telah memaki anakanak indonesia yang protes terhadap menu makanbergizigratis sementara yang punya program saja enggak berani memaki anakanak,yth segera panggil deddy corbuzier ini karena telah maki anakanak indonesia yang protes hadap menu makanbergizigratis sementara yang punya program saja enggak berani maki anakanak
48,1880650563018494453,1880650563018494453,2025-01-18T16:16:49.000Z,"Sy pribadi ga prnh sekalipun mengaggap MBG bukan program bagus bhkn yakin bgt program ini sangat bisa mendukung terwujudnya generasi Emas
Tp jika faktor pembiayaan jd kendala paling utama yg justru membuat MBG mnjadi tidak sesuai tujuan awal, knapa tidak dihentikan sj pak dan… https://t.co/YocEeH8Jwj https://t.co/bsxpO92hXg",1428002673815482369,sy pribadi enggak prnh sekalipun mengaggap mbg bukan program bagus bhkn yakin bgt program ini sangat bisa mendukung terwujudnya generasi emas tp jika faktor pembiayaan jd kendala paling utama yang justru membuat mbg mnjadi tidak sesuai tujuan awal knapa tidak dihentikan sj pak dan,sy pribadi enggak prnh sekalipun mengaggap mbg bukan program bagus bhkn yakin bgt program ini sangat bisa dukung wujud generasi emas tp jika faktor biaya jd kendala paling utama yang justru buat mbg mnjadi tidak sesuai tuju awal knapa tidak henti sj pak dan
